SNR_dB,Mod_Code,Ch_Code,BER,Modulation,Channel
0,1,1,0.07823,BPSK,AWGN
0,1,1,0.07787,BPSK,AWGN
0,1,1,0.08089,BPSK,AWGN
0,1,1,0.07973,BPSK,AWGN
0,1,1,0.08134,BPSK,AWGN
0.5,1,1,0.06787,BPSK,AWGN
0.5,1,1,0.06495,BPSK,AWGN
0.5,1,1,0.06774,BPSK,AWGN
0.5,1,1,0.0665,BPSK,AWGN
0.5,1,1,0.06788,BPSK,AWGN
1,1,1,0.05685,BPSK,AWGN
1,1,1,0.05615,BPSK,AWGN
1,1,1,0.05641,BPSK,AWGN
1,1,1,0.05732,BPSK,AWGN
1,1,1,0.05621,BPSK,AWGN
1.5,1,1,0.04734,BPSK,AWGN
1.5,1,1,0.04628,BPSK,AWGN
1.5,1,1,0.0472,BPSK,AWGN
1.5,1,1,0.04673,BPSK,AWGN
1.5,1,1,0.04634,BPSK,AWGN
2,1,1,0.03665,BPSK,AWGN
2,1,1,0.03777,BPSK,AWGN
2,1,1,0.03772,BPSK,AWGN
2,1,1,0.03863,BPSK,AWGN
2,1,1,0.03679,BPSK,AWGN
2.5,1,1,0.02991,BPSK,AWGN
2.5,1,1,0.02973,BPSK,AWGN
2.5,1,1,0.03119,BPSK,AWGN
2.5,1,1,0.02968,BPSK,AWGN
2.5,1,1,0.0305,BPSK,AWGN
3,1,1,0.02331,BPSK,AWGN
3,1,1,0.02334,BPSK,AWGN
3,1,1,0.02225,BPSK,AWGN
3,1,1,0.02346,BPSK,AWGN
3,1,1,0.02209,BPSK,AWGN
3.5,1,1,0.01745,BPSK,AWGN
3.5,1,1,0.01701,BPSK,AWGN
3.5,1,1,0.01763,BPSK,AWGN
3.5,1,1,0.01735,BPSK,AWGN
3.5,1,1,0.01709,BPSK,AWGN
4,1,1,0.01322,BPSK,AWGN
4,1,1,0.01223,BPSK,AWGN
4,1,1,0.0122,BPSK,AWGN
4,1,1,0.01173,BPSK,AWGN
4,1,1,0.01249,BPSK,AWGN
4.5,1,1,0.00896,BPSK,AWGN
4.5,1,1,0.0085,BPSK,AWGN
4.5,1,1,0.00841,BPSK,AWGN
4.5,1,1,0.00883,BPSK,AWGN
4.5,1,1,0.00933,BPSK,AWGN
5,1,1,0.00581,BPSK,AWGN
5,1,1,0.0058,BPSK,AWGN
5,1,1,0.00597,BPSK,AWGN
5,1,1,0.00615,BPSK,AWGN
5,1,1,0.00578,BPSK,AWGN
5.5,1,1,0.00415,BPSK,AWGN
5.5,1,1,0.00404,BPSK,AWGN
5.5,1,1,0.00389,BPSK,AWGN
5.5,1,1,0.00405,BPSK,AWGN
5.5,1,1,0.00397,BPSK,AWGN
6,1,1,0.00227,BPSK,AWGN
6,1,1,0.00244,BPSK,AWGN
6,1,1,0.00224,BPSK,AWGN
6,1,1,0.00247,BPSK,AWGN
6,1,1,0.00225,BPSK,AWGN
6.5,1,1,0.00129,BPSK,AWGN
6.5,1,1,0.00141,BPSK,AWGN
6.5,1,1,0.00133,BPSK,AWGN
6.5,1,1,0.00145,BPSK,AWGN
6.5,1,1,0.00135,BPSK,AWGN
7,1,1,0.00083,BPSK,AWGN
7,1,1,0.000798,BPSK,AWGN
7,1,1,0.000812,BPSK,AWGN
7,1,1,0.000754,BPSK,AWGN
7,1,1,0.0008,BPSK,AWGN
7.5,1,1,0.000404,BPSK,AWGN
7.5,1,1,0.00043,BPSK,AWGN
7.5,1,1,0.000428,BPSK,AWGN
7.5,1,1,0.000356,BPSK,AWGN
7.5,1,1,0.000394,BPSK,AWGN
8,1,1,0.00023,BPSK,AWGN
8,1,1,0.000184,BPSK,AWGN
8,1,1,0.000193,BPSK,AWGN
8,1,1,0.000191,BPSK,AWGN
8,1,1,0.000206,BPSK,AWGN
8.5,1,1,8.4e-05,BPSK,AWGN
8.5,1,1,7.6e-05,BPSK,AWGN
8.5,1,1,9.06666666666667e-05,BPSK,AWGN
